FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
631,57532,12473,4532,8988,2537,2119,1597,508,712,602,524,928,483,670,381,749,928,515,961,311,650,380,424,299,378,118,447,486,138,446,201,225,329,490,279,619,255,292,397,0,0
526,58200,12167,4623,8899,2287,2242,1393,685,738,577,511,804,520,620,355,776,874,500,922,406,676,405,419,362,378,153,492,471,152,453,219,229,388,523,262,593,266,339,472,0,0
478,58929,12740,4688,9248,2205,2276,1495,961,908,708,728,868,644,801,462,896,804,675,912,584,770,541,577,478,470,273,511,482,281,453,258,268,492,576,286,624,282,447,537,0,0
477,59408,14575,4830,9590,2604,2475,1757,1421,1175,959,928,999,838,1090,645,1094,774,961,911,767,933,626,607,579,598,424,589,530,484,489,318,336,607,578,348,662,360,466,561,0,0
515,59260,17471,5470,8967,3266,3018,2284,1973,1710,1499,1388,1249,1128,1420,920,1449,862,1310,987,912,994,837,840,758,770,612,722,653,702,601,412,428,760,577,484,687,478,583,673,0,0
519,57860,20646,6791,8944,4091,3532,3199,2552,2215,1956,1893,1673,1538,1688,1239,1853,1087,1591,1126,1098,1178,1067,1014,898,989,841,812,781,859,821,588,568,919,604,649,763,583,739,674,0,0
571,54550,22709,8714,9546,5073,4228,3685,3109,2795,2473,2227,2086,1915,1837,1524,2230,1410,1678,1336,1309,1421,1158,1159,1064,1085,975,972,924,933,1098,825,755,1048,684,774,839,721,780,799,0,0
532,48872,22554,10614,10282,5939,5035,4540,3696,3272,2959,2709,2431,2234,1949,1776,2564,1752,1635,1567,1515,1505,1446,1485,1248,1288,1148,1120,1054,998,1293,1060,942,1132,840,860,899,866,974,865,0,0
515,41207,20187,11688,10931,6434,5286,4656,3835,3402,3003,2882,2524,2323,1966,1860,2725,1957,1516,1676,1607,1572,1533,1470,1285,1271,1244,1135,1098,1025,1265,1172,1021,1095,972,875,926,892,1008,868,0,0
543,32550,16435,11401,10313,6046,4998,4515,3700,3260,2933,2618,2404,2191,1921,1763,2688,1976,1386,1587,1488,1525,1458,1495,1225,1198,1122,1081,1057,1042,1085,1141,988,940,1002,836,877,848,962,917,0,0
